Cadena,1 ​,2 ​,3 ​,4 ​,5 ​,6 ​,7 ​,8 ​,9 ​,10 ​,11 ​,12 ​,13 ​,14 ​,15 ​,16 ​,17 ​,18 ​,19 ​,20 ​,21 ​,22 ​,23 ​,24 ​,25 ​,26 ​,27 ​,28 ​,29 ​,30 ​,Media mensual
Mega,"1,8%","1,3%","1,3%","1,8%","1,3%","1,4%","1,6%","1,4%","1,4%","1,3%","1,8%","1,4%","1,7%","1,4%","1,6%","1,3%","1,3%","1,8%","1,3%","1,3%","1,3%","1,4%","1,1%","1,3%","1,6%","1,2%","1,3%","1,4%","1,4%","1,4%","1,4%"
Atreseries,"1,7%","1,6%","2,2%","2,3%","1,7%","1,4%","1,5%","1,6%","1,5%","2,0%","1,9%","1,2%","1,4%","1,5%","1,5%","1,8%","2,3%","1,8%","1,2%","1,4%","1,4%","1,6%","1,8%","1,8%","1,9%","1,5%","1,5%","1,6%","1,6%","1,8%","1,7%"
FDF,"2,8%","2,6%","2,3%","2,2%","2,5%","2,5%","2,6%","2,2%","2,6%","2,4%","2,3%","2,2%","2,2%","2,7%","2,3%","2,2%","2,6%","2,4%","2,5%","2,3%","2,3%","2,3%","2,2%","2,7%","2,5%","2,3%","2,0%","2,2%","2,0%","2,3%","2,4%"
Divinity,"2,6%","2,8%","2,0%","2,2%","2,7%","2,3%","2,7%","2,4%","2,4%","2,1%","2,0%","2,3%","2,0%","2,2%","2,3%","2,5%","1,9%","2,0%","2,2%","2,3%","2,3%","2,4%","2,4%","1,9%","2,1%","2,1%","2,0%","2,3%","2,6%","2,6%","2,3%"
Energy,"2,9%","2,7%","2,6%","2,2%","2,1%","2,4%","2,7%","2,4%","2,9%","2,7%","2,2%","2,5%","2,7%","2,4%","2,8%","2,5%","2,7%","2,2%","2,4%","2,6%","2,5%","2,5%","2,5%","2,5%","2,7%","3,0%","2,4%","2,7%","2,4%","2,7%","2,6%"
Boing,"1,0%","1,0%","1,1%","1,1%","1,0%","0,8%","1,0%","0,9%","0,9%","1,0%","0,8%","0,9%","0,8%","0,8%","0,8%","0,8%","1,3%","1,1%","0,7%","0,8%","0,7%","0,8%","1,0%","1,4%","1,0%","0,9%","0,7%","0,9%","0,8%","1,1%","0,9%"
Be Mad,"0,9%","1,1%","0,9%","0,9%","0,7%","0,6%","0,8%","0,7%","0,9%","0,9%","0,9%","0,6%","1,1%","1,3%","0,9%","0,8%","1,0%","1,1%","0,7%","0,7%","0,8%","0,8%","0,6%","1,1%","1,3%","0,6%","0,8%","0,8%","0,8%","0,7%","0,9%"
Trece,"2,0%","2,6%","2,0%","3,0%","2,1%","2,1%","2,2%","1,8%","1,9%","2,5%","2,4%","2,1%","2,1%","2,1%","2,2%","2,2%","2,1%","1,9%","1,9%","2,0%","2,1%","1,9%","2,0%","2,5%","2,0%","1,9%","1,9%","1,9%","2,1%","2,2%","2,1%"
DMAX,"1,6%","1,4%","1,8%","1,8%","1,6%","1,4%","1,7%","1,5%","1,9%","1,9%","1,7%","1,5%","1,6%","1,6%","1,6%","1,3%","2,0%","1,7%","1,3%","1,6%","1,6%","1,5%","1,4%","1,3%","1,7%","1,5%","1,4%","1,5%","1,8%","1,3%","1,6%"
Paramount Network,"1,5%","1,5%","1,6%","1,5%","1,6%","1,6%","1,5%","1,5%","1,2%","2,1%","1,7%","1,5%","1,6%","1,6%","1,6%","1,3%","1,7%","1,9%","1,2%","1,5%","1,5%","1,4%","1,1%","1,4%","1,8%","1,3%","1,4%","1,5%","1,5%","1,4%","1,5%"
Disney Channel,"0,8%","0,9%","0,8%","0,6%","0,5%","0,6%","0,9%","0,7%","0,6%","0,7%","0,5%","0,7%","0,6%","0,6%","0,5%","0,7%","0,8%","0,6%","0,7%","0,6%","0,9%","0,9%","0,7%","0,7%","0,7%","0,7%","0,5%","0,7%","0,6%","0,6%","0,7%"
Ten,"1,0%","1,0%","0,6%","0,6%","1,2%","1,0%","1,0%","1,0%","1,3%","0,7%","0,6%","0,8%","0,8%","1,0%","1,1%","1,0%","0,8%","0,6%","0,9%","1,1%","1,0%","1,2%","1,0%","0,7%","0,8%","0,9%","1,1%","1,0%","0,9%","0,9%","0,9%"
DKISS,"1,2%","1,2%","1,3%","1,1%","1,2%","1,3%","1,2%","1,2%","1,5%","1,1%","1,0%","1,0%","1,1%","1,0%","1,0%","1,4%","1,4%","1,0%","1,1%","1,4%","1,0%","1,3%","1,3%","1,0%","1,0%","1,0%","1,0%","1,0%","1,3%","1,3%","1,2%"
Gol Play,"1,5%","1,2%","1,6%","1,7%","1,0%","1,4%","1,7%","1,7%","1,1%","1,5%","1,8%","1,0%","1,6%","1,5%","1,3%","1,4%","1,3%","1,3%","1,1%","1,2%","0,9%","0,9%","0,8%","0,7%","0,6%","0,8%","1,0%","1,0%","1,1%","1,7%","1,2%"
RM TV,"0,7%","0,5%","0,8%","0,5%","0,6%","0,6%","0,7%","0,6%","0,7%","0,7%","0,7%","0,6%","0,5%","0,7%","0,6%","0,5%","0,7%","0,6%","0,6%","0,8%","0,7%","0,5%","0,4%","0,5%","0,7%","0,6%","0,5%","0,5%","0,5%","0,7%","0,6%"
